frame,track_id,class,confidence,x1,y1,x2,y2,speed_kmh,violation
21,9,car,0.781,580,155,604,173,,
21,8,car,0.739,639,175,672,201,,
21,10,car,0.724,571,137,587,151,,
21,2,car,0.696,1033,105,1046,111,,
21,1,car,0.695,36,211,61,240,,
21,15,truck,0.680,381,139,413,170,,
21,3,car,0.636,1050,110,1064,117,,
21,12,car,0.633,480,145,503,165,,
21,17,car,0.562,342,364,452,460,,
21,14,car,0.534,463,122,477,132,,
21,18,car,0.524,508,103,519,109,,
21,13,truck,0.523,342,364,452,460,,
21,16,car,0.437,563,117,578,132,,
21,19,car,0.398,403,134,421,147,,
21,5,car,0.365,963,114,981,126,,
21,6,car,0.310,1080,104,1095,111,,
22,17,truck,0.768,341,344,453,468,,
22,11,car,0.673,606,197,640,223,,
22,12,car,0.572,477,139,499,157,,
22,9,car,0.485,581,156,603,176,,
22,15,truck,0.367,375,134,412,166,,
22,7,truck,0.291,323,165,363,196,,
23,9,car,0.799,576,150,599,168,,
23,11,car,0.742,598,185,635,212,,
23,13,car,0.709,355,338,456,428,,
23,15,truck,0.644,374,134,406,167,,
23,12,car,0.585,478,139,500,158,,
23,8,car,0.571,633,168,665,194,,
23,7,truck,0.312,318,168,353,192,,
24,11,car,0.812,598,185,635,213,,
24,9,car,0.807,575,151,598,168,,
24,8,car,0.782,632,169,665,194,,
24,13,car,0.718,355,339,456,427,,
24,7,car,0.714,318,169,354,193,,
24,20,car,0.710,1046,106,1060,113,,
24,10,car,0.692,567,132,583,146,,
24,12,car,0.622,478,140,501,159,,
24,15,truck,0.616,374,135,406,168,,
24,21,car,0.561,457,119,472,129,,
24,22,car,0.521,31,212,41,237,,
24,23,car,0.419,503,98,514,105,,
24,24,car,0.399,558,110,574,127,,
26,26,car,0.846,390,190,440,225,,
26,27,car,0.801,755,161,787,185,,
26,29,car,0.794,784,208,835,245,,
26,34,car,0.773,623,147,654,172,,
26,28,car,0.767,744,137,766,155,,
26,32,car,0.751,590,119,610,133,,
26,36,truck,0.712,470,143,517,189,,
26,30,car,0.701,832,186,877,220,,
26,33,car,0.649,503,135,528,156,,
26,31,car,0.632,513,123,538,139,,
26,35,car,0.523,655,91,669,100,,
26,25,truck,0.482,471,403,601,514,,
26,37,car,0.450,733,110,753,130,,
27,26,car,0.863,385,192,437,228,,
27,25,car,0.809,480,392,606,499,,
27,34,car,0.798,624,146,655,171,,
27,27,car,0.795,755,160,786,184,,
27,28,car,0.784,744,136,766,154,,
27,29,car,0.780,784,205,834,243,,
27,30,car,0.729,831,185,875,219,,
27,32,car,0.724,588,119,609,134,,
27,36,truck,0.661,467,144,515,191,,
27,33,car,0.612,500,136,526,157,,
27,35,car,0.563,653,90,668,100,,
27,31,car,0.485,511,123,537,139,,
27,37,car,0.324,734,110,753,130,,
28,25,car,0.848,488,382,609,485,,
28,26,car,0.836,381,192,434,229,,
28,27,car,0.814,755,159,784,183,,
28,29,car,0.787,784,203,832,240,,
28,34,car,0.784,625,146,655,170,,
28,28,car,0.777,744,136,765,154,,
28,30,car,0.731,829,183,873,218,,
28,32,car,0.716,587,119,609,135,,
28,36,truck,0.687,465,145,513,192,,
28,31,car,0.659,511,123,535,139,,
28,33,car,0.632,498,136,524,158,,
28,37,car,0.501,733,110,753,129,,
28,35,car,0.486,653,91,667,100,,
29,29,car,0.839,783,202,831,239,,
29,27,car,0.789,754,159,785,182,,
